STATION,DATE,FT NAVD88,M NAVD88,FLOODCLASS,STORMNAME,TYPE,STATIONLAT,STATIONLONG,REGION,YEAR,DOWNSTREAM KM
HOLCOMBROCK,3/2/54,22.8,6.95,FLOOD,NT56,NT,37.501111,-79.262778,PIEDMONT,1954,112.3
BENTCREEK,3/2/54,16.78,5.11,FLOOD,NT56,NT,37.536111,-78.829722,PIEDMONT,1954,177.8
SCOTTSVILLE,3/3/54,18.9,5.76,ACTION,NT56,NT,37.797222,-78.491667,PIEDMONT,1954,240.3
CARTERSVILLE,3/3/54,18.75,6,ACTION,NT56,NT,37.670833,-78.086111,PIEDMONT,1954,291
RICHWEST,3/3/54,14.54,4.74,FLOOD,NT56,NT,37.563056,-77.547222,PIEDMONT,1954,354.6
LICKRUN,3/6/55,19.5,5.94,FLOOD,NT57,NT,37.773611,-79.784444,MOUNTAIN,1955,0
HOLCOMBROCK,3/7/55,23.33,7.11,FLOOD,NT57,NT,37.501111,-79.262778,PIEDMONT,1955,112.3
BENTCREEK,3/7/55,17.28,5.27,FLOOD,NT57,NT,37.536111,-78.829722,PIEDMONT,1955,177.8
SCOTTSVILLE,3/7/55,19.94,6.08,ACTION,NT57,NT,37.797222,-78.491667,PIEDMONT,1955,240.3
CARTERSVILLE,3/8/55,20.83,6.63,FLOOD,NT57,NT,37.670833,-78.086111,PIEDMONT,1955,291
RICHWEST,3/8/55,16.1,5.22,MODERATE,NT57,NT,37.563056,-77.547222,PIEDMONT,1955,354.6
BUCHANAN,5/7/55,19.36,5.9,FLOOD,NT58,NT,37.530556,-79.679167,MOUNTAIN,1955,57.7
CARTERSVILLE,8/19/55,24.48,7.74,MODERATE,DIANE,AT,37.670833,-78.086111,PIEDMONT,1955,291
RICHWEST,8/20/55,18.36,5.91,MODERATE,DIANE,AT,37.563056,-77.547222,PIEDMONT,1955,354.6
RICHLOCKS,8/20/55,16.9,5.15,FLOOD,DIANE,AT,37.525,-77.421111,PIEDMONT,1955,367.3
RICHWEST,3/17/56,9.32,3.15,ACTION,NT59,NT,37.563056,-77.547222,PIEDMONT,1956,354.6
SEWELLS,4/11/56,6.32,1.44,MODERATE,NT60,NT,36.946667,-76.33,COASTAL,1956,532
SEWELLS,9/27/56,5.92,1.31,MODERATE,FLOSSY,AH,36.946667,-76.33,COASTAL,1956,532
